PG,PG,SG,SG,SF,SF,PF,PF,C,PROJ VAL,REAL VAL
33219-9446,33219-23097,33219-58312,33219-84704,33219-16363,33219-9654,33219-42156,33219-66236,33219-58462,286.213012695312,0
33219-23097,33219-84671,33219-49116,33219-84704,33219-9809,33219-9654,33219-66236,33219-9451,33219-58462,286.149017333984,0
33219-23097,33219-84671,33219-49116,33219-84704,33219-9538,33219-9654,33219-66236,33219-9451,33219-58462,286.079010009766,0
33219-23097,33219-84671,33219-49116,33219-84704,33219-23572,33219-9654,33219-42156,33219-66236,33219-58462,286.012023925781,0
33219-14507,33219-23097,33219-15559,33219-84704,33219-16363,33219-9654,33219-80808,33219-66236,33219-58462,285.955017089844,0
33219-14498,33219-84671,33219-49116,33219-84704,33219-16363,33219-9654,33219-80808,33219-9451,33219-58462,285.909027099609,0
33219-14498,33219-23097,33219-15559,33219-84704,33219-16363,33219-9654,33219-66236,33219-9451,33219-58462,285.845001220703,0
33219-23097,33219-84671,33219-15559,33219-16359,33219-16363,33219-9654,33219-66236,33219-84700,33219-58462,285.809997558594,0
33219-23097,33219-84671,33219-15559,33219-84704,33219-42550,33219-9654,33219-66236,33219-9451,33219-58462,285.563018798828,0
33219-23097,33219-84671,33219-23798,33219-84704,33219-23572,33219-9654,33219-80808,33219-66236,33219-58462,285.56201171875,0
33219-12355,33219-84671,33219-84704,33219-16359,33219-16363,33219-23572,33219-66236,33219-9451,33219-58462,285.52099609375,0
33219-23097,33219-84671,33219-15559,33219-84704,33219-16363,33219-9654,33219-42156,33219-66236,33219-58462,285.47900390625,0
33219-9446,33219-84671,33219-15559,33219-84704,33219-42550,33219-9654,33219-66236,33219-9451,33219-58462,285.473999023438,0
