PG,PG,SG,SG,SF,SF,PF,PF,C,PROJ VAL,REAL VAL
33219-14498,33219-23097,33219-15595,33219-15559,33219-16363,33219-9654,33219-42156,33219-66236,33219-15814,289.983001708984,0
33219-12355,33219-23097,33219-15559,33219-84704,33219-40199,33219-16363,33219-80808,33219-66236,33219-15814,289.757019042969,0
33219-14498,33219-23097,33219-15595,33219-16359,33219-16363,33219-9654,33219-80808,33219-66236,33219-15814,289.670013427734,0
33219-14498,33219-84671,33219-49116,33219-15559,33219-9809,33219-9654,33219-80808,33219-66236,33219-15814,289.426025390625,0
33219-14498,33219-23097,33219-49116,33219-15595,33219-16363,33219-9654,33219-42156,33219-66236,33219-15814,289.135009765625,0
33219-12355,33219-14498,33219-58312,33219-15559,33219-16363,33219-9654,33219-80808,33219-66236,33219-15814,289.016021728516,0
33219-12355,33219-23097,33219-49116,33219-84704,33219-40199,33219-16363,33219-80808,33219-66236,33219-15814,288.908996582031,0
33219-14498,33219-84671,33219-58312,33219-84704,33219-42550,33219-16363,33219-42156,33219-66236,33219-15814,288.690979003906,0
33219-14498,33219-23097,33219-15595,33219-23798,33219-16363,33219-9654,33219-80808,33219-66236,33219-15814,288.685028076172,0
33219-12355,33219-14498,33219-49116,33219-58312,33219-16363,33219-9654,33219-80808,33219-66236,33219-15814,288.168029785156,0
33219-12355,33219-23097,33219-15559,33219-84704,33219-40199,33219-9654,33219-80808,33219-66236,33219-15814,288.161010742188,0
33219-12355,33219-9446,33219-15559,33219-84704,33219-40199,33219-9654,33219-80808,33219-66236,33219-15814,288.072021484375,0
33219-14498,33219-23097,33219-15595,33219-84704,33219-16363,33219-9809,33219-80808,33219-66236,33219-15814,288.059020996094,0
33219-14498,33219-84671,33219-49116,33219-15559,33219-42550,33219-9654,33219-80808,33219-66236,33219-15814,287.992004394531,0
33219-14498,33219-23097,33219-15595,33219-84704,33219-16363,33219-9538,33219-80808,33219-66236,33219-15814,287.989013671875,0
33219-14498,33219-23097,33219-15559,33219-84704,33219-40199,33219-9654,33219-42156,33219-80808,33219-15814,287.943023681641,0
