id,last_name,first_name,team,position,status,opponent,minutes,points,threes, threes_attempted,rebounds,assists,steals,blocks,turnovers,twos,free throws,free_throws_missed, field goals,field_goals_missed,double doubles,triple doubles,usage,odds_spread,odds_total,draftkings_price,draftkings_positions,draftkings_id,fanduel_price,fanduel_positions,fanduel_id,yahoo_price,yahoo_positions,yahoo_id,draftday_price,draftday_positions,draftday_id,fantasydraft_price,fantasydraft_positions,fantasydraft_id,fantasyfeud_price,fantasyfeud_positions,fantasyfeud_id,starfantasyleagues_price,starfantasyleagues_positions,starfantasyleagues_id,fantasyaces_price,fantasyaces_positions,fantasyaces_id,sportstradex_price,sportstradex_positions,sportstradex_id,fantasyscore_price,fantasyscore_positions,fantasyscore_id,fantasyup_price,fantasyup_positions,fantasyup_id,victiv_price,victiv_positions,victiv_id,draftster_price,draftster_positions,draftster_id,fanday_price,fanday_positions,fanday_id,moneyball_price,moneyball_positions,moneyball_id,owntheplay_price,owntheplay_positions,owntheplay_id,fantasyhub_price,fantasyhub_positions,fantasyhub_id,draftpot_price,draftpot_positions,draftpot_id,draftfury_price,draftfury_positions,draftfury_id,draftstars_price,draftstars_positions,draftstars_id,rosters_price,rosters_positions,rosters_id,draft_price,draft_positions,draft_id,draftboard_price,draftboard_positions,draftboard_id,starstreet_price,starstreet_positions,starstreet_id,draftstreet_price,draftstreet_positions,draftstreet_id,fanthrowdown_price,fanthrowdown_positions,fanthrowdown_id
5052,Towns,Karl-Anthony,MIN,C,,WAS,35.00,32.54,2.68,6.05,14.01,4.48,1.16,1.83,3.17,9.19,6.12,1.23,11.87,8.78,0.84,0.025,30.40,MIN by 7.0,241.0,10400,C,837030,11600,C,58462,50,C,5432,0,,837030,0,C,837030,0,,Karl-Anthony Towns,0,,21205,0,,43684,0,,,11200,C,9681,0,,5852a42d2364510011044388,0,,Karl-Anthony_Towns_Min,0,,ab532a66-9314-4d57-ade7-bb54a70c65ad,0,,,11600,C,Karl-Anthony Towns,0,,,0,,,0,,ab532a66-9314-4d57-ade7-bb54a70c65ad,0,,,22550,PF;C,7001367,0,,5852a42d2364510011044388,0,,,10700,C,Karl-Anthony Towns,0,,,0,,,0,,
3701,Antetokounmpo,Giannis,MIL,SF,,CHA,34.00,27.59,1.02,2.90,13.46,6.82,1.31,1.73,3.57,9.39,5.75,2.22,10.41,6.69,0.80,0.088,30.31,MIL by 12.5,227.0,11300,SF;PF,739957,12100,SF,40199,54,PF,5185,0,,739957,0,PF,739957,0,,Giannis Antetokounmpo,0,,7906,0,,19383,0,,,11800,F,6714,0,,5852a42f2364510011044418,0,,Giannis_Antetokounmpo_Mil,0,,6c60282d-165a-4cba-8e5a-4f2d9d4c5905,0,,,12100,SF,Giannis Antetokounmpo,0,,,0,,,0,,6c60282d-165a-4cba-8e5a-4f2d9d4c5905,0,,,20520,SF;PF,7000949,0,,5852a42f2364510011044418,0,,,11300,SF,Giannis Antetokounmpo,0,,13741,0,,5185,0,,Giannis Antetokounmpo
3439,Beal,Bradley,WAS,SG,,@ MIN,40.00,29.20,2.98,8.28,5.74,7.28,1.63,0.68,3.53,7.46,5.34,1.00,10.44,11.44,0.31,0.022,29.46,MIN by 7.0,241.0,9700,SG,606912,10600,SG,15595,47,SG,5009,0,,606912,0,SG,606912,0,,Bradley Beal,0,,3856,0,,19188,0,,,9000,G,6950,0,,5852a44123645100110449d1,0,,Bradley_Beal_Was,0,,ff461754-ad20-4eeb-af02-2b46cc980b24,0,,,10600,SG,Bradley Beal,0,,,0,,,0,,ff461754-ad20-4eeb-af02-2b46cc980b24,0,,,19780,SG;SF,7000967,0,,5852a44123645100110449d1,0,,,9900,SG,Bradley Beal,0,,8073,0,,5009,0,,Bradley Beal
3369,Irving,Kyrie,BOS,PG,Probable,@ LAL,36.00,23.95,2.62,6.29,5.75,7.46,1.92,0.45,2.42,6.47,3.15,0.43,9.09,9.90,0.31,0.022,28.07,,,9000,PG,551768,9500,PG,14498,41,PG,4840,0,,551768,0,PG,551768,0,,Kyrie Irving,0,,3486,0,,19347,0,,,9600,G,6518,0,,5852a4462364510011044b5f,0,,Kyrie_Irving_Cle,0,,dd146010-902b-4ad7-b98c-650d0363a2f0,0,,,9500,PG,Kyrie Irving,0,,,0,,,0,,dd146010-902b-4ad7-b98c-650d0363a2f0,0,,,17270,PG,7001221,0,,5852a4462364510011044b5f,0,,,8900,PG,Kyrie Irving,0,,6268,0,,4840,0,,Kyrie Irving
2011,James,LeBron,LAL,SF,,BOS,32.00,23.46,2.04,5.60,8.44,7.70,0.94,0.55,3.33,6.34,4.66,2.21,8.38,8.42,0.38,0.118,29.58,,,10800,SF;PF,214152,11400,SF,9488,50,PF,3704,0,,214152,0,SF,214152,0,,LeBron James,0,,3635,0,,19218,0,,,11200,F,6706,0,,5852a44f2364510011044de9,0,,LeBron_James_Cle,0,,0afbe608-940a-4d5d-a1f7-468718c67d91,0,,,11400,SF,LeBron James,0,,,0,,,0,,0afbe608-940a-4d5d-a1f7-468718c67d91,0,,,20930,SF;PF,7001216,0,,5852a44f2364510011044de9,0,,,10700,SF,LeBron James,0,,2987,0,,3704,0,,LeBron James
3542,Lillard,Damian,POR,PG,,PHO,36.00,26.62,3.08,8.09,4.55,6.47,1.35,0.49,3.15,5.24,6.90,0.72,8.32,10.37,0.11,0.003,29.37,POR by 12.5,228.5,8800,PG,463121,10300,PG,20848,38,PG,5012,0,,463121,0,PG,463121,0,,Damian Lillard,0,,3779,0,,19443,0,,,8700,G,6868,0,,5852a44b2364510011044c9b,0,,Damian_Lillard_Por,0,,5382cf43-3a79-4a5a-a7fd-153906fe65dd,0,,,10300,PG,Damian Lillard,0,,Damian Lillard,0,,,0,,5382cf43-3a79-4a5a-a7fd-153906fe65dd,0,,,17260,PG,7001198,0,,5852a44b2364510011044c9b,0,,,9700,PG,Damian Lillard,0,,8104,0,,5012,0,,Damian Lillard
5048,Russell,D'Angelo,BKN,SG,,@ ATL,32.00,24.00,3.17,8.57,4.04,8.65,1.30,0.44,2.98,5.88,2.73,0.53,9.05,10.52,0.38,0.011,30.43,BKN by 3.5,236.0,8100,PG;SG,844038,9100,SG,58312,35,PG,5433,0,,844038,0,PG,844038,0,,D'Angelo Russell,0,,21198,0,,43691,0,,,8300,G,9661,0,,5852a4432364510011044a5e,0,,D'Angelo_Russell_LAL,0,,dbf09e15-1cd8-434e-acda-9527735ef4d6,0,,,9100,SG,D'Angelo Russell,0,,,0,,,0,,dbf09e15-1cd8-434e-acda-9527735ef4d6,0,,,14050,PG;SG,7001360,0,,5852a4432364510011044a5e,0,,,8500,SG,D'Angelo Russell,0,,,0,,,0,,
3939,Nurkic,Jusuf,POR,C,,PHO,29.00,18.48,0.11,0.54,10.31,3.63,1.24,1.94,2.40,6.46,5.23,1.41,6.57,5.97,0.57,0.011,25.85,POR by 12.5,228.5,7000,C,830642,9000,C,55057,30,C,5327,0,,830642,0,C,830642,0,,Jusuf Nurkic,0,,10079,0,,20738,0,,,8200,C,8431,0,,5852a43d236451001104489b,0,,Jusuf_Nurkic_Den,0,,a8b48aa9-cf98-4a87-8bba-e88eead8cdaa,0,,,9000,C,Jusuf Nurkic,0,,,0,,,0,,a8b48aa9-cf98-4a87-8bba-e88eead8cdaa,0,,,13900,C,7001102,0,,5852a43d236451001104489b,0,,,8400,C,Jusuf Nurkic,0,,,0,,,0,,
5664,Young,Trae,ATL,PG,,BKN,34.00,23.02,2.53,7.98,4.21,9.98,1.13,0.19,4.52,5.46,4.51,0.98,7.99,11.59,0.49,0.015,30.29,BKN by 3.5,236.0,8200,PG,1060978,8300,PG,84671,36,PG,6016,0,,,0,PG,1060978,0,,,0,,,0,,,0,,,7500,G,17233,0,,,0,,,0,,,0,,,8300,PG,Trae Young,0,,,0,,,0,,,0,,,17690,PG,7022334,0,,,0,,,7800,PG,Trae Young,0,,,0,,,0,,
5465,Collins,John,ATL,PF,,BKN,32.00,22.87,1.07,2.98,11.68,2.23,0.42,0.71,2.23,7.75,4.16,1.31,8.82,6.66,0.65,0.007,24.41,BKN by 3.5,236.0,7200,PF;C,880468,7900,PF,66236,27,PF,5832,0,,,0,C,880468,0,,,0,,,0,,,0,,,7500,F,14940,0,,,0,,,0,,,0,,,7900,PF,John Collins,0,,,0,,,0,,,0,,,13820,PF;C,7001561,0,,,0,,,7400,PF,John Collins,0,,,0,,,0,,
